waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=1.8e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=1.8e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=1.08e-06) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=1.08e-06) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=1.26e-06) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=1.26e-06) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=3.6e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=3.6e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=5.4e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=5.4e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=7.2e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=7.2e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=9e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("w_pmos"))) (l_pmos=9e-07) Y
2.313999579775471,157.9864742942539,2.375593050057308,41.74215598668438,2.360905072629656,36.06159102005868,2.32586959098215,105.2491859578281,2.346462650846358,78.13052656953558,2.370745791074433,60.80392731179627,2.380489050368044,49.54541951545074
3.028492772199795,117.7365032070523,3.052621577640715,30.91277362052777,3.034145621795306,26.75408844688494,2.999680343242724,78.45104917932835,3.027690997931201,58.05883880687178,3.052573075872765,45.05130942031168,3.060784914707759,36.66789431222786
4.191189404890773,79.30751375462434,3.938224219853002,21.02743218639441,3.906558315616073,18.24681958763959,4.007700945250803,53.39444132431581,3.985175975711335,39.47786602360912,3.977937882118213,30.59094808808097,3.963498990462211,24.9005017751624
6.440759225158348,44.62396392454177,5.411115442354757,12.61844349944423,5.34140912842122,11.00758409271852,5.850119369669692,31.25838524185673,5.670202186081098,23.33817328510585,5.56542906435481,18.18041588586804,5.485199115724579,14.86731754595128
11.60601997739029,17.05706583732806,8.735243324908401,5.91944125551046,8.550107395470231,5.231255094766372,10.18914214240368,13.31679689027168,9.601322749104636,10.34317474490257,9.222876565669193,8.256299051779056,8.953473808696504,6.871822121072262
21.15227454312188,2.824885344259962,17.44173353480854,1.47981579594702,17.04059088123376,1.351795253073196,20.05538707425794,2.60939372726156,19.16347426283416,2.22154519137689,18.45757051093087,1.892267899740891,17.90565936032448,1.652152523325715
28.82062060887611,0.1702300642211018,27.72752636497255,0.1129023397430159,27.56999808788441,0.1067388735711094,28.57321925349247,0.165084837790758,28.26814189473141,0.1489983286568693,28.07497544460989,0.1332656815990187,27.89576189815994,0.1213680681190555
32.88858184297924,0.005324790524935553,32.86605947314944,0.003813240883420187,32.8039171733176,0.003651023575151917,33.00949036482274,0.00522832321730993,32.94190231828902,0.00483928442966124,32.95342481663319,0.004382765848483111,32.91976987807838,0.004045192397555146
34.2703296418971,0.0001260387267762108,35.12833451628144,8.524147735417765e-05,35.16562779999842,8.164529716492959e-05,34.64087811722003,0.0001200219606281647,34.78409400606538,0.0001103358935025813,34.96590939123881,9.86560773573677e-05,35.06766234980874,9.057321010695889e-05
34.66845927201526,2.709019426760373e-06,35.76244971502399,1.639229070649311e-06,35.82369847731548,1.560971035561331e-06,35.12756972303355,2.461486434534691e-06,35.32490595881819,2.219053224202729e-06,35.54393064116385,1.93939351908733e-06,35.67549135184425,1.756781457278948e-06
